"","GrLivArea","Neighborhood","LotArea","X1stFlrSF","OverallQual","y_true","y_rf","y_svm_linear","y_svm_radial","y_lda","y_logistic","y_boosting"
"1",1262,"Veenker",9600,1262,6,0,0,0,0,0,0,0
"2",1786,"CollgCr",11250,920,7,1,1,0,1,0,0,1
"3",1362,"Mitchel",14115,796,5,0,0,0,0,0,0,0
"4",1694,"Somerst",10084,1694,8,1,1,0,1,0,0,0
"5",912,"Sawyer",12968,912,5,0,0,0,0,0,0,0
"6",1494,"CollgCr",10652,1494,7,1,1,0,1,0,0,1
"7",1114,"SawyerW",13695,1114,5,0,0,0,0,0,0,0
"8",1339,"NAmes",7560,1339,5,0,0,0,0,0,0,0
"9",1108,"IDOTRR",7449,1108,7,0,0,0,0,0,0,0
"10",1795,"CollgCr",9742,1795,8,1,1,0,1,0,0,1
"11",1060,"MeadowV",4224,1060,5,0,0,0,0,0,0,0
"12",900,"NAmes",7200,900,5,0,0,0,0,0,0,0
"13",1600,"NAmes",16321,1600,5,1,1,0,1,0,0,1
"14",520,"BrkSide",6324,520,4,0,0,0,0,0,0,0
"15",1228,"Sawyer",8544,1228,5,0,0,0,0,0,0,0
"16",1234,"CollgCr",11049,1234,8,0,0,0,0,0,0,0
"17",2452,"NridgHt",13418,1132,8,1,1,1,1,1,1,1
"18",1097,"CollgCr",10859,1097,5,0,0,0,0,0,0,0
"19",1297,"NAmes",8532,1297,5,0,0,0,0,0,0,0
"20",1152,"Edwards",6040,1152,4,0,0,0,0,0,0,0
"21",1324,"NAmes",8658,1324,6,0,0,0,0,0,0,0
"22",1328,"Timber",16905,1328,5,0,0,0,0,0,0,0
"23",884,"SawyerW",9180,884,5,0,0,0,0,0,0,0
"24",938,"CollgCr",9200,938,5,0,0,0,0,0,0,0
"25",1752,"NridgHt",7658,1752,9,1,1,0,1,0,0,0
"26",2149,"Mitchel",12822,1518,7,1,1,0,1,0,0,1
"27",1656,"Somerst",11096,1656,8,1,1,0,1,0,0,1
"28",1452,"OldTown",4456,736,4,0,0,0,0,0,0,0
"29",1470,"Gilbert",13869,794,6,0,0,0,0,0,0,0
"30",1176,"BrkSide",6240,816,6,0,0,0,0,0,0,0
"31",1720,"CollgCr",11645,860,7,0,0,0,0,0,0,0
"32",2945,"StoneBr",13682,1426,10,1,1,1,1,1,1,1
"33",780,"CollgCr",7200,780,5,0,0,0,0,0,0,0
"34",1158,"SawyerW",13072,1158,6,0,0,0,0,0,0,0
"35",1111,"IDOTRR",7200,581,5,0,0,0,0,0,0,0
"36",1370,"NridgHt",6442,1370,8,1,1,0,1,0,0,1
"37",2034,"CollgCr",9375,1057,7,1,1,0,1,0,0,1
"38",2207,"NAmes",19900,2207,7,0,0,0,0,0,0,0
"39",1479,"CollgCr",10665,1479,7,1,1,0,1,0,0,0
"40",2223,"NAmes",13651,2223,7,1,1,0,1,0,0,1
"41",845,"Mitchel",7599,845,4,0,0,0,0,0,0,0
"42",1718,"Gilbert",10141,885,7,0,0,0,0,0,0,0
"43",1086,"NAmes",10200,1086,5,0,0,0,0,0,0,0
"44",1605,"OldTown",5790,840,3,0,0,0,0,0,0,0
"45",952,"NAmes",8475,952,4,0,0,0,0,0,0,0
"46",1285,"BrkSide",8635,1072,5,0,0,0,0,0,0,0
"47",1768,"Sawyer",10778,1768,4,0,0,0,0,0,0,0
"48",2142,"NAmes",13000,1182,6,0,0,0,0,0,0,0
"49",1337,"Mitchel",4500,1337,6,0,0,0,0,0,0,0
"50",1474,"Gilbert",8530,804,7,0,0,0,0,0,0,0
"51",2417,"NoRidge",16059,1301,8,1,1,1,1,1,1,1
"52",1526,"IDOTRR",8470,1013,3,0,0,0,0,0,0,0
"53",990,"CollgCr",8070,990,4,0,0,0,0,0,0,0
"54",1040,"NAmes",7200,1040,4,0,0,0,0,0,0,0
"55",1235,"NAmes",8500,1235,5,0,0,0,0,0,0,0
"56",964,"Crawfor",13360,964,5,0,0,0,0,0,0,0
"57",2291,"OldTown",7200,1260,6,0,0,1,0,0,0,0
"58",1786,"CollgCr",9337,905,6,1,1,0,1,0,0,0
"59",1470,"Gilbert",9765,680,6,0,0,0,0,0,0,0
"60",1588,"CollgCr",10264,1588,7,1,1,0,1,0,0,1
"61",960,"Edwards",10921,960,4,0,0,0,0,0,0,0
"62",1610,"NWAmes",10603,1610,6,1,1,0,1,0,0,0
"63",1732,"SawyerW",9206,977,6,0,0,0,0,0,0,0
"64",1535,"SawyerW",7018,1535,5,0,0,0,0,0,0,0
"65",1818,"IDOTRR",7758,1226,7,0,0,0,0,0,0,0
"66",1992,"Somerst",9375,1053,8,1,1,0,1,1,1,1
"67",1047,"OldTown",10800,1047,4,0,0,0,0,0,0,0
"68",1517,"IDOTRR",8500,997,5,0,0,0,0,0,0,0
"69",1855,"Edwards",9525,1216,6,0,0,0,0,0,0,0
"70",2696,"CollgCr",9965,1282,7,1,1,1,1,1,1,1
"71",2259,"Crawfor",21000,2259,6,1,1,1,1,1,1,1
"72",1458,"Somerst",3230,729,6,0,0,0,0,0,0,0
"73",1092,"Sawyer",11616,1092,5,0,0,0,0,0,0,0
"74",1125,"Edwards",8536,1125,5,0,0,0,0,0,0,0
"75",3222,"SawyerW",12376,1699,7,1,1,1,1,1,1,1
"76",1456,"CollgCr",8461,728,6,0,0,0,0,0,0,0
"77",988,"ClearCr",21453,988,6,0,0,0,0,0,0,0
"78",1123,"IDOTRR",6060,772,4,0,0,0,0,0,0,0
"79",1080,"NAmes",9464,1080,6,0,0,0,0,0,0,0
"80",1199,"SawyerW",7892,1199,6,0,0,0,0,0,0,0
"81",1586,"NWAmes",17043,1586,6,0,0,0,0,0,0,0
"82",958,"NPkVill",4928,958,6,0,0,0,0,0,0,0
"83",840,"OldTown",4388,840,5,0,0,0,0,0,0,0
"84",1348,"NAmes",7590,660,6,0,0,0,0,0,0,0
"85",1053,"NAmes",8973,1053,5,0,0,0,0,0,0,0
"86",2157,"NAmes",14200,1216,7,1,1,0,1,0,0,1
"87",2054,"Gilbert",12224,1022,6,1,1,0,1,0,0,1
"88",1327,"NAmes",7388,1327,5,0,0,0,0,0,0,0
"89",1296,"Timber",6853,1296,8,1,1,0,1,0,0,0
"90",1682,"NWAmes",10400,1682,7,0,0,0,0,0,0,0
"91",1214,"NAmes",10355,1214,5,0,0,0,0,0,0,0
"92",1959,"Mitchel",11070,1959,7,0,0,0,0,0,0,1
"93",1852,"CollgCr",9066,1004,8,1,1,0,1,0,0,1
"94",864,"NAmes",10500,864,4,0,0,0,0,0,0,0
"95",1734,"CollgCr",11645,1734,7,1,1,0,1,0,0,1
"96",1385,"NAmes",8520,910,5,0,0,0,0,0,0,0
"97",1728,"Sawyer",9100,1728,5,0,0,0,0,0,0,0
"98",875,"BrkSide",6120,875,5,0,0,0,0,0,0,0
"99",2035,"Gilbert",9505,884,7,1,1,0,1,0,0,1
"100",969,"CollgCr",10356,969,5,0,0,0,0,0,0,0
"101",1710,"NridgHt",13891,1710,8,1,1,0,1,0,0,0
"102",1993,"NWAmes",14803,1097,6,0,0,0,0,0,0,0
"103",1252,"ClearCr",13500,1252,6,1,1,0,1,0,0,0
"104",1096,"Edwards",9600,572,6,0,0,0,0,0,0,0
"105",1947,"Somerst",12552,991,7,1,1,0,1,0,0,1
"106",1232,"Veenker",11120,1232,6,0,0,0,0,0,0,0
"107",1355,"Edwards",10106,808,5,0,0,0,0,0,0,0
"108",2161,"NridgHt",10562,1610,8,1,1,1,1,1,1,1
"109",1382,"OldTown",12358,854,5,0,0,0,0,0,0,0
"110",1362,"NAmes",10197,1362,6,0,0,0,0,0,0,0
"111",1340,"Edwards",9060,1340,5,0,0,0,0,0,0,0
"112",1252,"BrkSide",7438,936,5,0,0,0,0,0,0,0
"113",3608,"OldTown",22950,1518,10,1,1,1,1,1,1,1
"114",1217,"Mitchel",9947,1217,7,0,0,0,0,0,0,0
"115",1656,"OldTown",10410,808,5,0,0,0,0,0,0,0
"116",1224,"SawyerW",7018,1224,5,0,0,0,0,0,0,0
"117",1431,"CollgCr",9017,1431,7,0,0,0,0,0,0,0
"118",1456,"NPkVill",2280,855,6,0,0,0,0,0,0,0
"119",2229,"OldTown",5520,929,6,0,0,0,0,0,0,0
"120",1121,"Edwards",8546,1121,4,0,0,0,0,0,0,0
"121",1279,"Mitchel",10125,1279,6,0,0,0,0,0,0,0
"122",1310,"OldTown",7000,865,6,0,0,0,0,0,0,0
"123",848,"CollgCr",4438,848,6,0,0,0,0,0,0,0
"124",1284,"OldTown",3500,720,5,0,0,0,0,0,0,0
"125",1442,"Gilbert",11851,1442,7,0,0,0,0,0,0,0
"126",2062,"SawyerW",14364,1180,7,1,1,0,1,0,0,1
"127",1092,"NAmes",8250,1092,6,0,0,0,0,0,0,0
"128",864,"Edwards",5604,864,5,0,0,0,0,0,0,0
"129",1212,"Edwards",10420,1212,6,0,0,0,0,0,0,0
"130",1852,"Somerst",8640,932,7,1,1,0,1,0,0,1
"131",990,"CollgCr",13568,990,5,0,0,0,0,0,0,0
"132",1236,"NAmes",10011,1236,5,0,0,0,0,0,0,0
"133",1328,"OldTown",9906,810,4,0,0,0,0,0,0,0
"134",1954,"Crawfor",15660,1137,7,1,1,1,1,1,1,1
"135",1248,"Blmngtn",3010,1248,7,0,0,0,0,0,0,0
"136",1498,"CollgCr",8990,1498,7,1,1,0,1,0,0,1
"137",2267,"Gilbert",8068,1010,6,1,1,1,1,0,0,1
"138",1552,"NWAmes",11475,811,6,0,0,0,0,0,0,0
"139",864,"NAmes",10500,864,4,0,0,0,0,0,0,0
"140",2520,"NoRidge",9950,1214,7,1,1,1,1,1,1,1
"141",987,"BrDale",1869,483,6,0,0,0,0,0,0,0
"142",912,"Sawyer",8521,912,5,0,0,0,0,0,0,0
"143",2794,"NoRidge",15138,1490,8,1,1,1,1,1,1,1
"144",987,"BrDale",1680,483,6,0,0,0,0,0,0,0
"145",1414,"CollgCr",8773,1414,7,0,0,0,0,0,0,0
"146",1744,"SawyerW",9453,1014,7,0,0,0,0,0,0,0
"147",1566,"Somerst",9000,1566,8,1,1,0,1,0,0,1
"148",866,"OldTown",3880,866,5,0,0,0,0,0,0,0
"149",1440,"OldTown",5000,889,5,0,0,0,0,0,0,0
"150",1217,"SawyerW",10762,626,6,0,0,0,0,0,0,0
"151",2110,"SawyerW",8880,1222,7,1,1,0,1,0,0,1
"152",1872,"NWAmes",10400,1872,7,1,1,0,1,0,0,0
"153",1668,"CollgCr",11317,840,7,0,0,0,0,0,0,0
"154",2144,"ClearCr",159000,1444,6,1,1,1,1,1,1,1
"155",1625,"Crawfor",4750,1625,8,1,1,0,1,0,0,1
"156",1640,"SawyerW",8366,798,6,0,0,0,0,0,0,0
"157",1314,"NAmes",8400,1314,5,0,0,0,0,0,0,0
"158",2291,"Gilbert",8738,1005,7,1,1,1,1,0,0,1
"159",1728,"Somerst",8791,864,6,1,1,0,1,0,0,1
"160",1604,"CollgCr",8814,1604,7,1,1,0,1,0,0,1
"161",1792,"CollgCr",12435,963,7,1,1,0,1,0,0,1
"162",2574,"CollgCr",9588,1482,8,1,1,1,1,1,1,1
"163",1316,"OldTown",5500,926,5,0,0,0,0,0,0,0
"164",1511,"Gilbert",11207,802,6,0,0,0,0,0,0,0
"165",2192,"SWISU",8400,1052,5,0,0,0,0,0,0,0
"166",1939,"Somerst",10728,1095,8,1,1,0,1,0,0,1
"167",1363,"ClearCr",39104,1363,7,1,1,1,1,0,0,1
"168",2270,"NoRidge",11764,1164,8,1,1,1,1,1,1,1
"169",1632,"NAmes",9600,1632,6,0,0,0,0,0,0,0
"170",816,"Mitchel",8314,816,5,0,0,0,0,0,0,0
"171",1548,"BrkSide",7264,952,7,1,1,0,1,0,0,1
"172",864,"Gilbert",19138,864,4,0,0,0,0,0,0,0
"173",2121,"NridgHt",14450,2121,9,1,1,1,1,1,1,0
"174",2022,"ClearCr",10005,1156,7,0,0,0,0,0,0,0
"175",1262,"Somerst",7200,1262,6,0,0,0,0,0,0,0
"176",1314,"NridgHt",5063,1314,7,1,1,0,1,0,0,1
"177",1575,"SawyerW",8012,1575,6,0,0,0,0,0,0,0
"178",858,"NAmes",8125,858,4,0,0,0,0,0,0,0
"179",1396,"BrkSide",8730,698,6,0,0,0,0,0,0,0
"180",1919,"CollgCr",15611,1079,8,1,1,1,1,1,1,1
"181",1716,"SWISU",5687,936,5,0,0,0,0,0,0,0
"182",1716,"Edwards",11409,1148,5,0,0,0,0,0,0,0
"183",2263,"NWAmes",16659,1468,7,1,1,0,1,1,1,1
"184",1644,"NAmes",9600,1644,6,0,0,0,0,0,0,0
"185",1003,"Mitchel",7937,1003,6,0,0,0,0,0,0,0
"186",1950,"Somerst",7399,975,7,1,1,0,1,0,0,1
"187",1152,"Crawfor",14000,1152,6,0,0,0,0,0,0,0
"188",1336,"Crawfor",15750,1336,5,0,0,0,0,0,0,0
"189",2000,"CollgCr",10386,2000,8,1,1,0,1,1,1,0
"190",2243,"SawyerW",13474,1122,7,1,1,1,1,1,1,1
"191",1406,"IDOTRR",7920,1035,6,0,0,0,0,0,0,0
"192",861,"Edwards",12342,861,4,0,0,0,0,0,0,0
"193",1944,"NridgHt",12378,1944,9,1,1,1,1,1,1,1
"194",972,"NAmes",8000,972,6,0,0,0,0,0,0,0
"195",1118,"OldTown",7800,793,5,0,0,0,0,0,0,0
"196",1641,"OldTown",9600,832,7,0,0,0,0,0,0,0
"197",2353,"NWAmes",13005,1153,7,1,1,1,1,1,1,1
"198",1472,"NWAmes",14115,1472,7,0,0,0,0,0,0,0
"199",2730,"SawyerW",10380,1553,7,1,1,1,1,1,1,1
"200",1163,"OldTown",5820,1163,3,0,0,0,0,0,0,0
"201",2978,"NAmes",11275,1898,7,1,1,1,1,1,1,1
"202",1719,"Veenker",10846,1719,8,1,1,0,1,0,0,1
"203",1383,"NAmes",11600,1383,6,0,0,0,0,0,0,0
"204",2134,"BrkSide",11888,1445,6,1,1,1,1,0,0,1
"205",1192,"IDOTRR",6402,596,5,0,0,0,0,0,0,0
"206",1056,"NAmes",8176,1056,5,0,0,0,0,0,0,0
"207",1638,"Gilbert",9042,943,6,0,0,0,0,0,0,0
"208",1786,"Timber",164660,1619,5,1,1,1,1,1,1,1
"209",1621,"NWAmes",14145,1621,7,1,1,0,1,0,0,1
"210",1215,"NAmes",12400,1215,6,0,0,0,0,0,0,0
"211",1908,"Timber",14191,993,8,1,1,1,1,1,1,1
"212",841,"SawyerW",8400,841,4,0,0,0,0,0,0,0
"213",1626,"NridgHt",2448,764,7,0,0,0,0,0,0,0
"214",1869,"NridgHt",7820,1869,9,1,1,1,1,0,0,1
"215",1111,"Edwards",9084,616,5,0,0,0,0,0,0,0
"216",720,"OldTown",8520,720,6,0,0,0,0,0,0,0
"217",1595,"SWISU",8400,1192,6,0,0,0,0,0,0,0
"218",1200,"CollgCr",11249,1200,6,0,0,0,0,0,0,0
"219",1167,"Gilbert",9248,1167,6,0,0,0,0,0,0,0
"220",1352,"ClearCr",6930,1352,5,0,0,0,0,0,0,0
"221",1924,"NoRidge",12011,1086,8,1,1,1,1,1,1,1
"222",912,"Mitchel",7540,912,6,0,0,0,0,0,0,0
"223",1505,"BrkSide",9144,988,5,0,0,0,0,0,0,0
"224",1922,"Edwards",7301,495,7,1,1,1,1,0,0,1
"225",1574,"NWAmes",18800,790,6,0,0,0,0,0,0,0
"226",1344,"IDOTRR",10690,672,5,0,0,0,0,0,0,0
"227",1431,"NAmes",9150,1431,6,0,0,0,0,0,0,0
"228",1588,"ClearCr",17120,1120,4,0,0,0,0,0,0,0
"229",1928,"CollgCr",8200,847,7,1,1,0,1,0,0,0
"230",904,"Edwards",10020,904,1,0,0,0,0,0,0,0
"231",914,"CollgCr",8846,914,5,0,0,0,0,0,0,0
"232",2466,"Somerst",11143,1580,8,1,1,1,1,1,1,1
"233",1856,"StoneBr",11394,1856,9,1,1,0,1,1,1,1
"234",1800,"Gilbert",8123,1007,6,0,0,0,0,0,0,0
"235",1301,"Somerst",7200,1301,7,0,0,0,0,0,0,0
"236",784,"SawyerW",9000,784,6,0,0,0,0,0,0,0
"237",1953,"ClearCr",53107,1079,6,1,1,1,1,1,1,1
"238",1269,"Blmngtn",3182,1269,8,0,0,0,0,0,0,0
"239",1184,"Edwards",8410,658,5,0,0,0,0,0,0,0
"240",1125,"Edwards",7200,1125,6,0,0,0,0,0,0,0
"241",1479,"CollgCr",9382,1479,7,0,0,0,0,0,0,1
"242",2332,"NridgHt",12474,1742,10,1,1,1,1,1,1,1
"243",1367,"Edwards",8405,961,5,0,0,0,0,0,0,0
"244",1961,"Mitchel",12209,804,6,1,1,0,1,0,0,1
"245",1034,"OldTown",10134,735,5,0,0,0,0,0,0,0
"246",1144,"Edwards",9571,1144,5,0,0,0,0,0,0,0
"247",894,"CollgCr",7200,894,5,0,0,0,0,0,0,0
"248",1077,"IDOTRR",8967,1077,5,0,0,0,0,0,0,0
"249",1550,"Somerst",8125,1112,7,1,1,0,1,0,0,1
"250",1310,"CollgCr",8767,1310,7,0,0,0,0,0,0,0
"251",672,"Sawyer",10200,672,5,0,0,0,0,0,0,0
"252",2263,"NoRidge",12090,1165,8,1,1,1,1,1,1,1
"253",1572,"Gilbert",10364,806,6,0,0,0,0,0,0,0
"254",1620,"Sawyer",9991,1620,4,0,0,0,0,0,0,0
"255",1639,"SWISU",10480,1166,6,0,0,0,0,0,0,0
"256",1680,"Crawfor",15576,840,6,0,0,0,0,1,1,0
"257",1276,"Edwards",9571,1276,5,0,0,0,0,0,0,0
"258",1056,"Gilbert",34650,1056,5,0,0,0,0,0,0,0
"259",1478,"Somerst",4403,1478,7,1,1,0,1,0,0,1
"260",2097,"SawyerW",11228,1080,7,1,1,1,1,0,0,1
"261",1400,"Sawyer",7844,672,6,0,0,0,0,0,0,0
"262",1602,"NWAmes",16635,1602,6,1,1,1,1,0,0,1
"263",988,"Mitchel",21750,988,5,0,0,0,0,0,0,0
"264",2630,"NoRidge",9200,1470,8,1,1,1,1,1,1,1
"265",1196,"NAmes",9000,1196,6,0,0,0,0,0,0,0
"266",1389,"OldTown",3378,707,7,0,0,0,0,0,0,0
"267",1644,"SawyerW",12800,1644,7,1,1,0,1,0,0,1
"268",1208,"CollgCr",6762,1208,7,0,0,0,0,0,0,0
"269",987,"BrDale",1680,483,6,0,0,0,0,0,0,0
"270",1198,"OldTown",5586,1088,6,0,0,0,0,0,0,0
"271",1661,"CollgCr",10667,827,7,1,1,0,1,0,0,0
"272",2402,"NridgHt",15431,2402,10,1,1,1,1,1,1,1
"273",1573,"BrkSide",6240,1128,5,0,0,0,0,0,0,0
"274",1258,"Blmngtn",3922,1258,7,0,0,0,0,0,0,0
"275",1888,"NAmes",16492,1888,6,0,0,0,0,0,0,0
"276",1886,"Gilbert",11214,956,7,1,1,1,1,0,0,1
"277",1183,"OldTown",6000,679,3,0,0,0,0,0,0,0
"278",813,"OldTown",5684,813,6,0,0,0,0,0,0,0
"279",1756,"Timber",9303,888,6,1,1,0,1,0,0,0
"280",1344,"OldTown",4571,624,5,0,0,0,0,0,0,0
"281",1663,"ClearCr",53227,1663,4,1,1,1,1,1,1,1
"282",1203,"BrkSide",7015,979,5,0,0,0,0,0,0,0
"283",864,"Sawyer",8281,864,5,0,0,0,0,0,0,0
"284",1660,"Crawfor",11988,849,6,0,0,0,0,0,0,0
"285",1634,"NridgHt",11428,1634,8,1,1,0,1,0,0,1
"286",1710,"SawyerW",9291,832,6,0,0,0,0,0,0,0
"287",970,"Sawyer",8480,970,5,0,0,0,0,0,0,0
"288",1493,"CollgCr",13125,1493,6,1,1,0,1,0,0,1
"289",2643,"NridgHt",13693,2069,9,1,1,1,1,1,1,1
"290",1718,"CollgCr",10637,1718,8,1,1,0,1,0,0,1
"291",1850,"NridgHt",16033,1850,9,1,1,1,1,1,1,1
"292",1792,"NridgHt",11846,1792,9,1,1,0,1,0,0,1
"293",1216,"Mitchel",4500,1216,6,0,0,0,0,0,0,0
"294",999,"Sawyer",7758,999,5,0,0,0,0,0,0,0
"295",1073,"NAmes",10289,1073,5,0,0,0,0,0,0,0
"296",1484,"NWAmes",12243,1484,5,0,0,0,0,0,0,0
"297",2414,"OldTown",10800,1766,5,0,0,0,0,0,0,0
"298",630,"MeadowV",1526,630,4,0,0,0,0,0,0,0
"299",1304,"MeadowV",2665,616,5,0,0,0,0,0,0,0
"300",1578,"NAmes",9490,958,6,0,0,0,0,0,0,0
"301",1269,"NAmes",7931,1269,5,0,0,0,0,0,0,0
"302",886,"OldTown",5784,886,5,0,0,0,0,0,0,0
"303",3228,"NoRidge",12692,3228,8,1,1,1,1,1,1,1
"304",912,"NAmes",7535,912,5,0,0,0,0,0,0,0
"305",1218,"BrDale",1890,672,6,0,0,0,0,0,0,0
"306",1768,"Somerst",9803,866,7,1,1,0,1,0,0,1
"307",1214,"Edwards",9170,1214,5,0,0,0,0,0,0,0
"308",1801,"Crawfor",15602,1801,7,1,1,0,1,1,1,1
"309",1322,"NPkVill",2308,855,6,0,0,0,0,0,0,0
"310",1218,"Somerst",7862,1218,6,1,1,0,1,0,0,0
"311",1378,"OldTown",9600,689,7,0,0,0,0,0,0,0
"312",1368,"NridgHt",6792,1368,7,1,1,0,1,0,0,0
"313",864,"NAmes",9100,864,5,0,0,0,0,0,0,0
"314",789,"Crawfor",10594,789,5,0,0,0,0,0,0,0
"315",2020,"NridgHt",12220,2020,10,1,1,1,1,1,1,1
"316",2119,"NWAmes",10448,1378,6,0,0,0,0,0,0,0
"317",2344,"NoRidge",10208,1277,7,1,1,1,1,1,1,1
"318",1796,"CollgCr",9531,882,6,1,1,0,1,0,0,0
"319",1244,"NAmes",11988,1244,6,0,0,0,0,0,0,0
"320",1664,"BrkSide",5000,1004,6,0,0,0,0,0,0,0
"321",4676,"Edwards",40094,3138,10,0,0,1,0,1,1,0
"322",2398,"NoRidge",11787,1383,7,1,1,1,1,1,1,1
"323",928,"NAmes",13300,928,5,0,0,0,0,0,0,0
"324",2713,"NridgHt",14948,1476,9,1,1,1,1,1,1,1
"325",605,"Edwards",9098,605,4,0,0,0,0,0,0,0
"326",2515,"Crawfor",32668,2515,6,1,1,1,1,1,1,1
"327",1509,"Timber",10200,1509,6,0,0,0,0,0,0,0
"328",827,"NAmes",7200,827,5,0,0,0,0,0,0,0
"329",334,"BrkSide",5000,334,1,0,0,0,0,0,0,0
"330",1347,"Edwards",7000,820,5,0,0,0,0,0,0,0
"331",1601,"CollgCr",11423,1601,8,1,1,0,1,0,0,1
"332",1838,"Timber",14601,1838,9,1,1,0,1,1,1,1
"333",2285,"NoRidge",11000,997,8,1,1,1,1,1,1,1
"334",1680,"NWAmes",10140,1680,7,1,1,0,1,0,0,0
"335",767,"NAmes",4058,767,7,0,0,0,0,0,0,0
"336",1496,"Gilbert",17104,664,7,0,0,0,0,0,0,0
"337",2183,"NWAmes",13837,1377,7,1,1,0,1,0,0,1
"338",1635,"BrkSide",8737,915,6,1,1,0,1,0,0,0
"339",825,"OldTown",8235,825,5,0,0,0,0,0,0,0
"340",2094,"Somerst",9375,912,7,1,1,1,1,1,1,1
"341",928,"OldTown",6000,928,5,0,0,0,0,0,0,0
"342",1717,"NridgHt",11146,1717,8,1,1,0,1,0,0,1
"343",1048,"BrkSide",6380,1048,5,0,0,0,0,0,0,0
"344",1336,"IDOTRR",11040,897,4,0,0,0,0,0,0,0
"345",1557,"Blmngtn",3196,1557,7,1,1,0,1,0,0,1
"346",1389,"Mitchel",10010,1389,5,0,0,0,0,0,0,0
"347",996,"Edwards",13907,996,5,0,0,0,0,0,0,0
"348",1674,"Edwards",21780,1163,6,0,0,0,0,0,0,0
"349",2295,"NoRidge",13346,1166,7,1,1,1,1,1,1,1
"350",2132,"SawyerW",12327,1496,8,1,1,0,1,0,0,1
"351",943,"NAmes",7032,943,5,0,0,0,0,0,0,0
"352",1692,"Timber",13159,846,7,1,1,0,1,0,0,1
